gender,Male,height,174
count,timestamp,x,y,z
22489,1699942958441,2.6288335,1.2617443,9.196129
22490,1699942958483,2.4588451,1.460463,9.248801
22491,1699942958501,2.5234885,1.8722657,9.129091
22492,1699942958502,2.6527755,1.6879122,9.387665
22493,1699942958518,2.633622,1.7238252,9.3733
22494,1699942958541,2.4827871,1.7980455,9.337387
22495,1699942958559,2.4827871,1.7477672,9.323022
22496,1699942958578,2.5594015,1.697489,9.32781
22497,1699942958598,2.7509377,1.4508862,9.246407
22498,1699942958619,2.719813,1.6663644,9.217676
22499,1699942958640,2.779668,1.7645266,9.3661175
22500,1699942958659,2.7988217,1.4915876,9.263166
22501,1699942958678,2.873042,1.4101849,9.217676
22502,1699942958698,2.6168625,1.6089035,9.19134
22503,1699942958720,2.6862943,1.4772224,9.244013
22504,1699942958739,2.717419,1.5562311,9.26556
22505,1699942958758,2.6384103,1.7645266,9.272743
22506,1699942958778,2.408567,1.934515,9.334992
22507,1699942958798,2.243367,1.3192052,9.018958
22508,1699942958819,2.3654714,1.2737153,8.92319
22509,1699942958839,1.9033904,2.3343468,8.487445
22510,1699942958858,1.5059528,3.0909145,8.475474
22511,1699942958879,1.0103531,3.0789435,7.501034
22512,1699942958898,0.6871359,2.5617957,7.1730285
22513,1699942958918,0.272939,1.8650831,6.2752028
22514,1699942958940,0.11731588,0.770933,4.1635165
22515,1699942958958,1.3718776,-1.6136919,1.5562311
22516,1699942958978,2.5689783,-4.745308,0.31603462
22517,1699942958998,4.9296613,-7.7093296,-0.18914193
22518,1699942959018,6.0645127,-11.303026,-2.6719291
22519,1699942959040,8.195353,-13.596671,-4.51307
22520,1699942959059,10.0341,-12.641385,-4.0940847
22521,1699942959078,8.508993,-9.952697,-2.2768857
22522,1699942959098,7.800309,-9.801862,-3.2680852
22523,1699942959119,8.238448,-11.130644,-2.8898015
22524,1699942959139,7.991845,-10.6158905,-2.4612393
22525,1699942959159,7.1634517,-8.805874,-2.8993783
22526,1699942959179,6.600814,-9.045294,-2.255338
22527,1699942959199,6.4380083,-9.385271,-1.8555063
22528,1699942959219,6.172252,-8.686164,-2.5210943
22529,1699942959240,5.896919,-8.283937,-3.2082303
22530,1699942959259,5.7245364,-8.02297,-3.4596214
22531,1699942959279,5.6886234,-7.735666,-3.5889084
22532,1699942959299,5.693412,-7.3549876,-4.036624
22533,1699942959319,5.506664,-7.074866,-4.220978
22534,1699942959340,5.451597,-7.7572136,-3.560178
22535,1699942959361,5.523423,-7.144298,-3.2800562
22536,1699942959379,5.475539,-6.3709707,-3.5218706
22537,1699942959399,5.626374,-6.5385647,-3.775656
22538,1699942959419,5.628768,-6.861782,-3.751714
22539,1699942959440,5.5377884,-6.9288197,-3.6415808
22540,1699942959460,5.5162406,-6.83784,-3.4141316
22541,1699942959479,5.729325,-6.8522053,-3.5865142
22542,1699942959499,5.731719,-6.921637,-3.7900212
22543,1699942959522,5.8945246,-6.801927,-3.8426938
22544,1699942959542,5.9687448,-6.813898,-3.5577838
22545,1699942959560,5.8322754,-6.931214,-3.550601
22546,1699942959579,5.9400144,-6.991069,-3.490746
22547,1699942959599,5.8825536,-7.1251445,-3.4835634
22548,1699942959619,5.755661,-6.9862804,-3.1914709
22549,1699942959640,5.8466406,-6.8210807,-3.4739866
22550,1699942959660,5.98311,-7.0724716,-3.5889084
22551,1699942959680,5.896919,-7.007828,-3.3638535
22552,1699942959699,5.853823,-6.7827735,-3.1148565
22553,1699942959720,5.805939,-6.907272,-3.1603463
22554,1699942959740,6.0118403,-6.6846113,-3.2321723
22555,1699942959760,5.997475,-6.6534867,-2.717419
22556,1699942959779,6.172252,-6.7085533,-2.7724855
22557,1699942959799,6.256049,-6.8210807,-3.3135753
22558,1699942959819,6.315904,-7.0485296,-3.526659
22559,1699942959841,6.3111157,-7.0365586,-3.6248214
22560,1699942959860,6.5457473,-7.2927384,-3.5769374
22561,1699942959879,6.43322,-7.2544312,-3.560178
22562,1699942959899,6.208165,-7.1730285,-3.3303347
22563,1699942959919,6.131551,-7.015011,-3.3135753
22564,1699942959943,6.136339,-6.634333,-3.526659
22565,1699942959960,6.143522,-6.7229185,-3.833117
22566,1699942959979,6.196194,-6.873753,-3.9097314
22567,1699942960000,6.093243,-6.7109475,-3.6894648
22568,1699942960022,6.1387334,-6.483498,-3.5098996
22569,1699942960042,6.0645127,-6.7085533,-3.478775
22570,1699942960059,6.179435,-6.907272,-3.4620156
22571,1699942960097,6.3446345,-6.9647326,-3.8067808
22572,1699942960102,6.1076083,-7.00304,-3.8857894
22573,1699942960120,6.081272,-7.2065473,-3.7373488
22574,1699942960142,6.279991,-7.261614,-3.787627
22575,1699942960325,6.4404025,-7.141904,-3.8187518
22576,1699942960326,6.3063273,-7.0485296,-4.015076
22577,1699942960326,6.4284315,-7.0102224,-4.2281604
22578,1699942960327,6.517017,-7.156269,-4.43885
22579,1699942960327,6.754043,-7.089231,-4.6591167
22580,1699942960328,7.1466923,-6.754043,-5.327099
22581,1699942960329,7.457938,-7.587225,-6.009446
22582,1699942960329,6.931214,-8.013393,-6.160281
22583,1699942960330,5.849035,-7.771579,-5.901707
22584,1699942960348,4.927267,-6.931214,-4.5394063
22585,1699942960378,5.0613422,-6.0716953,-3.3303347
22586,1699942960381,5.9400144,-5.896919,-4.3023806
22587,1699942960414,6.375759,-5.935226,-5.5641246
22588,1699942960450,6.303933,-6.4523735,-6.181829
22589,1699942960474,6.0645127,-6.43322,-6.1626754
22590,1699942960474,5.4563856,-6.2991447,-5.463568
22591,1699942960481,4.841076,-6.26802,-4.900931
22592,1699942960504,4.711789,-5.741296,-4.441244
22593,1699942960520,4.8937483,-5.121197,-3.9504328
22594,1699942960543,5.2049947,-6.2584434,-4.5178585
22595,1699942960564,4.721366,-7.0341644,-3.7565024
22596,1699942960581,4.6782703,-6.244078,-3.6152446
22597,1699942960605,5.1235914,-6.38773,-3.3973722
22598,1699942960622,5.741296,-6.0956373,-3.6343982
22599,1699942960642,5.781997,-5.734113,-3.5338416
22600,1699942960661,5.853823,-5.5880666,-3.5170822
22601,1699942960718,6.155493,-6.1411276,-4.1180267
