gender,Male,height,170
count,timestamp,x,y,z
0,1700198418370,-3.41892,0.25139117,9.481039
1,1700198418371,-3.265691,0.9840169,9.078813
2,1700198418372,-3.2249897,1.055843,9.093178
3,1700198418390,-3.1890767,1.0271125,9.315839
4,1700198418395,-3.0430303,0.7110779,9.442732
5,1700198418415,-3.1435869,0.39504328,9.382876
6,1700198418435,-3.083732,0.50996494,9.222465
7,1700198418456,-3.0621839,0.581791,9.119514
8,1700198418478,-3.1124623,0.6536171,9.203311
9,1700198418495,-3.217807,0.7541735,9.205706
10,1700198418516,-3.052607,0.78050977,9.126697
11,1700198418534,-3.169923,0.7685388,9.212888
12,1700198418554,-3.1914709,0.50996494,9.330204
13,1700198418578,-3.181894,0.45250413,9.272743
14,1700198418595,-3.0214825,0.6464345,9.234436
15,1700198418615,-3.086126,0.6392518,9.172187
16,1700198418634,-3.071761,0.62967503,9.224859
17,1700198418654,-3.169923,0.581791,9.25359
18,1700198418678,-3.2680852,0.521936,9.169792
19,1700198418695,-3.1292217,0.5554548,9.097966
20,1700198418714,-3.193865,0.521936,9.01417
21,1700198418734,-3.0621839,0.49320555,9.030929
22,1700198418760,-2.930503,0.6488287,9.0429
23,1700198418779,-2.861071,0.5530606,9.02614
24,1700198418795,-2.9759927,0.4357447,9.143456
25,1700198418813,-3.083732,0.4285621,9.186552
26,1700198418833,-2.96881,0.47165772,9.255983
27,1700198418856,-2.9520507,0.37110126,9.244013
28,1700198418878,-2.9113493,0.40940848,9.188946
29,1700198418896,-2.966416,0.21547815,9.339781
30,1700198418915,-2.966416,0.06703765,9.346964
31,1700198418934,-2.861071,0.08379706,9.291897
32,1700198418962,-2.873042,0.11252748,9.131485
33,1700198418982,-2.9233203,0.18435353,8.937555
34,1700198418998,-2.9879637,0.1316811,9.0237465
35,1700198419016,-2.8754363,-0.035913024,9.100361
36,1700198419032,-2.9041667,-0.007182605,9.035717
37,1700198419054,-2.7748797,0.009576807,8.978256
38,1700198419079,-2.7820623,-0.10055647,9.035717
39,1700198419096,-2.7964275,-0.21068975,8.944737
40,1700198419113,-2.707842,-0.51475334,9.004593
41,1700198419133,-2.80361,-0.4141969,8.961497
42,1700198419153,-2.6743233,-0.45968673,9.059659
43,1700198419179,-2.6647465,-0.5793968,9.045294
44,1700198419197,-2.6024973,-0.61291564,8.973468
45,1700198419213,-2.540248,-0.533907,9.054871
46,1700198419232,-2.4396915,-0.7110779,9.217676
47,1700198419260,-2.1380222,-0.80205756,9.370906
48,1700198419280,-2.2529438,-0.878672,9.485827
49,1700198419297,-2.2649148,-1.0271125,9.564836
50,1700198419314,-2.372654,-1.055843,9.674969
51,1700198419332,-2.4827871,-1.2737153,9.7084875
52,1700198419351,-2.6910827,-1.5394717,9.718064
53,1700198419373,-2.7222073,-1.6041151,10.070012
54,1700198419397,-3.6487634,-1.7932571,10.491392
55,1700198419414,-2.719813,-2.054225,10.462662
56,1700198419433,-3.4332852,-2.0925324,10.335769
57,1700198419451,-2.5713725,-1.8770541,10.144233
58,1700198419478,-2.2242134,-1.5825673,10.053253
59,1700198419497,-2.767697,-1.340753,9.957485
60,1700198419514,-2.3175871,-1.4508862,9.995792
61,1700198419533,-2.1380222,-1.8148049,10.014946
62,1700198419551,-2.1787236,-1.8746599,9.993398
63,1700198419578,-2.0733786,-1.5490485,9.945514
64,1700198419597,-2.1667526,-1.2282255,9.902418
65,1700198419614,-2.3056161,-1.1755531,9.7084875
66,1700198419631,-2.3223755,-1.151611,9.569624
67,1700198419653,-2.2457612,-1.4317327,9.466674
68,1700198419682,-2.3056161,-1.7501614,9.200917
69,1700198419701,-2.147599,-1.9440918,9.050082
70,1700198419713,-2.0207062,-1.6065093,8.911219
71,1700198419732,-1.7908629,-1.3910311,8.76996
72,1700198419750,-1.8052281,-1.460463,8.75799
73,1700198419779,-1.9871874,-1.6400281,8.738836
74,1700198419797,-2.1045034,-1.460463,8.7292595
75,1700198419816,-2.0805612,-1.364695,8.686164
76,1700198419836,-2.4109612,-1.448492,8.53054
77,1700198419850,-2.597709,-1.6089035,8.549694
78,1700198419873,-2.4420857,-1.7980455,8.487445
79,1700198419897,-2.4277205,-1.7932571,8.3821
80,1700198419915,-2.5306711,-1.5035586,8.408437
81,1700198419933,-2.219425,-1.6376339,8.389283
82,1700198419950,-2.219425,-1.5346833,8.281544
83,1700198419978,-2.2816741,-1.6950948,7.93199
84,1700198419999,-2.1930888,-1.9680338,7.690176
85,1700198420015,-2.1691468,-2.3942018,7.5225816
86,1700198420031,-1.8507179,-2.4492683,7.5848308
87,1700198420050,-1.7597382,-2.944868,7.821857
88,1700198420070,-1.8674773,-3.5098996,8.1163435
89,1700198420097,-1.946486,-3.6870706,8.379706
90,1700198420118,-2.1092918,-3.58412,8.511387
91,1700198420132,-2.2409728,-3.952827,8.403648
92,1700198420150,-2.1739352,-4.2161894,8.693346
93,1700198420170,-2.171541,-4.620809,8.688558
94,1700198420193,-1.982399,-4.378995,8.154651
95,1700198420217,-2.1164744,-4.915296,8.901642
96,1700198420233,-1.9416976,-5.686229,9.67018
97,1700198420250,-1.9680338,-7.2209125,10.2495775
