gender,Male,height,180
count,timestamp,x,y,z
0,1700739359929,-1.2593501,7.5824366,5.973533
1,1700739359965,0.60573304,6.4906807,6.471527
2,1700739359969,0.25378537,6.3949127,6.835446
3,1700739359987,0.045489833,6.2991447,6.993463
4,1700739360007,0.20111294,6.567295,6.871359
5,1700739360027,0.079008654,6.4643445,6.7612257
6,1700739360048,-0.39264908,6.646304,6.7731967
7,1700739360068,-0.7661445,6.4020953,6.8330517
8,1700739360087,-1.0893618,6.0022635,6.885724
9,1700739360107,-1.3838485,5.805939,6.6870055
10,1700739360128,-1.6184803,5.805939,5.719748
11,1700739360148,-2.3535004,6.457162,4.4915223
12,1700739360169,-2.815581,6.1626754,3.7804444
13,1700739360187,-3.4380736,5.8586116,3.383007
14,1700739360207,-3.7253778,4.8003745,3.0933087
15,1700739360228,-4.4699745,3.1914709,3.4237084
16,1700739360248,-5.149928,0.7110779,3.2944214
17,1700739360268,-6.397307,-1.1923125,3.0933087
18,1700739360288,-6.5457473,-2.7964275,3.0478187
19,1700739360308,-7.0964136,-5.767632,4.7046065
20,1700739360328,-7.311892,-5.2600613,4.6830587
21,1700739360349,-6.6486983,-6.2704144,4.3406878
22,1700739360369,-5.6215854,-7.290344,3.8043866
23,1700739360388,-4.283227,-8.655039,3.9480386
24,1700739360408,-1.7860745,-12.50731,6.0381765
25,1700739360428,-2.5570073,-14.252683,9.215282
26,1700739360449,-0.557849,-19.15122,10.6637745
27,1700739360469,3.5458126,-19.970036,12.275072
28,1700739360488,5.4563856,-20.762518,15.394717
29,1700739360508,6.457162,-19.730616,18.811243
30,1700739360528,7.991845,-17.353174,16.112978
31,1700739360549,10.275913,-17.594988,12.038046
32,1700739360569,9.519346,-20.305225,11.212047
33,1700739360588,5.389348,-22.20622,11.391612
34,1700739360611,0.6368576,-22.931664,10.0987425
35,1700739360632,-4.5322237,-18.26297,6.155493
36,1700739360649,-3.8522706,-11.518504,2.1691468
37,1700739360669,-2.3750482,-7.467515,-1.2545617
38,1700739360688,-3.3782187,-6.2105594,-2.2266076
39,1700739360709,-4.9200845,-4.271256,-0.89782566
40,1700739360728,-6.4020953,2.1859062,-1.2449849
41,1700739360749,-8.418014,5.0541596,-2.60968
42,1700739360770,-9.775525,5.5018754,-2.4037786
43,1700739360788,-10.120291,4.3263226,-3.110068
44,1700739360809,-10.280702,1.2521675,-3.3782187
45,1700739360829,-11.32218,-3.70383,-1.8076223
46,1700739360849,-10.6158905,-11.283873,0.021547815
47,1700739360870,-10.546458,-24.24608,2.932897
48,1700739360889,-7.405266,-32.621,6.8067155
49,1700739360911,-4.06296,-33.827675,7.9750857
50,1700739360932,-2.3654714,-22.862232,8.341399
51,1700739360949,1.1731589,-17.161638,7.953538
52,1700739360970,2.0350714,-9.040505,5.6000376
53,1700739360989,3.5362358,-2.918532,3.277662
54,1700739361011,5.5617304,-1.3718776,1.99437
55,1700739361032,7.587225,0.6967127,1.508347
56,1700739361049,8.4587145,-0.62967503,0.62009823
57,1700739361070,8.793902,-2.882619,-0.7422025
58,1700739361090,8.532935,-4.6471453,-0.82121116
59,1700739361111,7.5584946,-9.196129,0.51235914
60,1700739361132,5.035006,-13.345281,0.5650316
61,1700739361149,5.7269306,-18.387468,-0.47405192
62,1700739361170,5.580884,-24.861391,3.107674
63,1700739361189,4.110844,-26.21172,-1.4101849
64,1700739361211,-12.093113,-17.262194,0.39743748
65,1700739361232,-3.2202013,-15.282189,-1.1803415
66,1700739361250,-5.923255,-11.791444,0.6871359
67,1700739361270,-8.157045,-5.5258174,1.7645266
68,1700739361289,-8.892065,-1.1683705,2.2409728
69,1700739361312,-10.180145,-0.7781156,3.0454245
70,1700739361333,-9.205706,0.7326257,1.13964
71,1700739361349,-7.61835,-0.079008654,0.16759412
72,1700739361371,-6.4020953,-1.7166426,0.9744401
73,1700739361389,-5.08289,-1.1492168,1.2808979
74,1700739361412,-4.405331,-2.9855695,2.3942018
75,1700739361457,-5.2409077,-8.537724,1.9800048
76,1700739361458,-1.8674773,-17.489643,-1.4221559
77,1700739361472,0.047884032,-23.089682,-2.0326772
78,1700739361513,0.62967503,-28.996178,4.1299977
79,1700739361514,1.8339585,-28.785486,5.0493712
80,1700739361686,2.9257145,-20.942081,3.8714242
81,1700739361686,3.2944214,-11.360487,2.6719291
82,1700739361687,3.787627,-5.6359506,2.1284454
83,1700739361688,5.705383,-1.9632454,0.80924016
84,1700739361688,8.008605,0.37588966,1.7549498
85,1700739361688,7.201759,1.8411411,0.878672
86,1700739361688,7.7189064,1.5251064,0.51954174
87,1700739361689,6.3566055,-1.2090719,-0.7493851
88,1700739361708,5.2385135,-3.6966474,-0.91219085
89,1700739361734,4.6160207,-7.6351094,-0.7661445
90,1700739361735,5.645528,-15.8304615,0.076614454
91,1700739361769,7.050924,-23.080105,1.9393034
92,1700739361781,3.8762126,-28.09117,1.5011644
93,1700739361832,-3.9552212,-21.90455,1.7788919
94,1700739361833,-1.5155296,-20.527885,0.7613561
95,1700739361839,-1.5777789,-16.321274,1.7741034
96,1700739361852,-2.2170308,-11.195287,2.765303
97,1700739361881,-2.789245,-9.062054,3.9025488
98,1700739361892,-3.9025488,-5.932832,2.873042
99,1700739361911,-4.9057193,-2.6024973,2.432509
100,1700739361932,-6.3949127,1.4556746,0.2873042
101,1700739361956,-7.5225816,3.6703112,-2.2601264
102,1700739361978,-7.9128366,5.207389,-4.122815
103,1700739361997,-7.1059904,4.867412,-3.976769
104,1700739362011,-6.1219735,3.0765493,-2.858677
105,1700739362032,-7.2951326,0.11731588,1.127669
106,1700739362072,-8.4587145,-8.295909,2.0254946
107,1700739362073,-6.4044895,-28.170177,-3.643975
108,1700739362123,-2.9999347,-33.976116,1.9393034
109,1700739362124,-1.412579,-40.35427,8.049306
110,1700739362131,3.7229836,-31.086315,6.2967505
111,1700739362161,3.0430303,-18.241423,4.3167458
112,1700739362180,3.5865142,-8.178593,2.7964275
113,1700739362192,6.50744,-3.0142999,0.51954174
114,1700739362213,9.763555,-2.0709844,-1.0534488
115,1700739362231,10.237606,-2.267309,0.059855044
116,1700739362252,8.307879,-1.3670892,-0.4429273
117,1700739362274,7.2687964,0.08140286,-1.2880806
118,1700739362293,6.9168487,-0.059855044,-1.5897499
119,1700739362315,5.746084,-1.0749966,-1.7836803
120,1700739362332,6.495469,-4.1371803,-0.82599956
121,1700739362352,10.225636,-14.073117,0.79487497
122,1700739362374,7.8266454,-25.610775,3.2944214
123,1700739362393,2.1619642,-31.194054,5.2145715
124,1700739362414,0.18195933,-25.2708,2.3535004
125,1700739362436,-0.6991069,-20.029892,1.5921441
126,1700739362452,-3.9456444,-12.140997,0.48362875
127,1700739362474,-6.3661823,-4.7381253,1.472434
128,1700739362492,-9.576807,2.6192567,1.4748282
129,1700739362513,-10.8624935,6.9527617,0.36391866
130,1700739362536,-9.904813,9.385271,-2.7748797
131,1700739362553,-10.46745,8.748413,-4.960786
132,1700739362575,-10.407595,5.303157,-3.620033
133,1700739362594,-10.749966,-2.2816741,0.35673606
134,1700739362613,-10.635044,-14.985309,2.054225
