timestamp,x_accelerometer,y_accelerometer,z_accelerometer,gender,height,x_gyroscope,y_gyroscope,z_gyroscope
1700299673231,-0.33279404,-3.383007,9.018958,Male,165.0,0.002443461,-0.09040806,-0.010995574
1700299673249,-0.7541735,-3.2944214,9.349358,Male,165.0,0.028099801,0.16126843,0.0720821
1700299673269,-1.2665327,-3.4715924,9.560047,Male,165.0,0.015882496,0.19425514,0.14172074
1700299673291,-1.4532804,-3.4979286,9.682152,Male,165.0,0.015882496,0.19425514,0.14172074
1700299673316,-1.5682021,-3.3039982,9.715671,Male,165.0,0.015882496,0.19425514,0.14172074
1700299673333,-2.566584,-2.980781,9.610326,Male,165.0,-0.043982297,0.09407325,0.1881465
1700299673351,-1.5155296,-2.6910827,9.3661175,Male,165.0,-0.043982297,0.09407325,0.1881465
1700299673368,-1.9728222,-2.2146366,8.463503,Male,165.0,-0.043982297,0.09407325,0.1881465
1700299673388,-1.3670892,-2.4947581,8.003817,Male,165.0,-0.043982297,0.09407325,0.1881465
1700299673411,-0.82599956,-3.0023289,8.180987,Male,165.0,-0.043982297,0.09407325,0.1881465
1700299673433,-0.25378537,-3.5769374,8.607155,Male,165.0,-0.043982297,0.09407325,0.1881465
1700299673451,-0.2681506,-4.086902,9.109938,Male,165.0,-0.043982297,0.09407325,0.1881465
1700299673468,-1.6496049,-4.2904096,9.593566,Male,165.0,-0.043982297,0.09407325,0.1881465
1700299673487,-2.791639,-3.7924154,9.916783,Male,165.0,-0.043982297,0.09407325,0.1881465
1700299673511,-3.8762126,-3.3159695,10.077195,Male,165.0,-0.043982297,0.09407325,0.1881465
1700299673534,-5.3247046,-2.8921957,9.868899,Male,165.0,-0.043982297,0.09407325,0.1881465
1700299673549,-5.6886234,-2.5785553,9.0476885,Male,165.0,-0.119729586,0.35918877,0.63529986
1700299673567,-4.4723687,-2.3343468,7.8625584,Male,165.0,-0.119729586,0.35918877,0.63529986
1700299673589,-2.7030537,-2.5761611,7.6494746,Male,165.0,-0.43982297,-0.17959438,0.8405506
1700299673611,-2.5617957,-3.857059,7.953538,Male,165.0,-0.43982297,-0.17959438,0.8405506
1700299673632,-2.9376855,-4.4196963,8.47308,Male,165.0,-0.43982297,-0.17959438,0.8405506
1700299673652,-0.2825158,-4.6830587,9.595961,Male,165.0,-0.43982297,-0.17959438,0.8405506
1700299673668,-0.61530983,-6.244078,10.692505,Male,165.0,-0.43982297,-0.17959438,0.8405506
1700299673687,-2.0973208,-6.093243,10.716447,Male,165.0,-0.43982297,-0.17959438,0.8405506
1700299673715,-3.0885203,-5.439626,10.395624,Male,165.0,0.21991149,0.4813618,0.10262536
1700299673733,-4.134786,-5.0637364,10.240001,Male,165.0,0.21991149,0.4813618,0.10262536
1700299673749,-4.6471453,-5.7029886,11.068395,Male,165.0,0.21991149,0.4813618,0.10262536
1700299673769,-4.63278,-4.414908,11.760319,Male,165.0,0.21991149,0.4813618,0.10262536
1700299673787,-4.9799395,-3.2202013,11.851298,Male,165.0,0.21991149,0.4813618,0.10262536
1700299673814,-5.4563856,-2.2361844,11.382035,Male,165.0,0.53023106,-0.5204572,0.24556783
