timestamp,x_accelerometer,y_accelerometer,z_accelerometer,gender,height,x_gyroscope,y_gyroscope,z_gyroscope
1699943557060.0,5.7149596,-6.4858923,-4.261679,Male,174.0,0.17837265,0.25900686,-0.35430184
1699943557078.0,4.841076,-3.4835634,-3.5553896,Male,174.0,0.17837265,0.25900686,-0.35430184
1699943557099.0,5.650316,-0.80205756,-4.2281604,Male,174.0,0.17837265,0.25900686,-0.35430184
1699943557119.0,8.078036,0.24660277,-4.0797195,Male,174.0,0.17837265,0.25900686,-0.35430184
1699943557140.0,7.7787614,0.4261679,-2.3630772,Male,174.0,0.17837265,0.25900686,-0.35430184
1699943557158.0,6.0046577,-0.62009823,-0.79726917,Male,174.0,0.17837265,0.25900686,-0.35430184
1699943557179.0,5.4061074,-1.8483237,-1.1085154,Male,174.0,0.17837265,0.25900686,-0.35430184
1699943557198.0,6.3182983,-3.5577838,-3.3973722,Male,174.0,0.17837265,0.25900686,-0.35430184
1699943557220.0,8.444349,-6.495469,-5.568913,Male,174.0,0.17837265,0.25900686,-0.35430184
1699943557239.0,10.0269165,-10.048465,-8.628703,Male,174.0,-0.012217305,1.3206906,0.40317106
1699943557260.0,8.604761,-8.552089,-9.502586,Male,174.0,-0.012217305,1.3206906,0.40317106
1699943557279.0,7.603985,-9.392453,-7.3669586,Male,174.0,-0.012217305,1.3206906,0.40317106
1699943557299.0,7.85777,-10.785878,-6.5122285,Male,174.0,-0.012217305,1.3206906,0.40317106
1699943557320.0,6.2392898,-9.7563715,-7.57286,Male,174.0,-0.012217305,1.3206906,0.40317106
1699943557341.0,4.441244,-9.940725,-7.074866,Male,174.0,-0.10140363,-0.16982053,0.8527679
1699943557359.0,2.2625206,-8.846576,-4.1395745,Male,174.0,-0.10140363,-0.16982053,0.8527679
1699943557382.0,1.1180922,-7.9128366,-2.669535,Male,174.0,-0.10140363,-0.16982053,0.8527679
1699943557401.0,-0.51954174,-5.9543796,-1.2689269,Male,174.0,0.36041048,-0.27000242,0.3200934
1699943557421.0,-1.1563994,-4.4196963,-1.6950948,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557441.0,-1.460463,-4.3119574,-1.4413095,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557460.0,-0.80205756,-4.000711,-0.59615624,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557479.0,0.39983168,-3.5745432,-0.85473,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557500.0,2.303222,-4.333505,-2.2026656,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557520.0,5.556942,-7.2424603,-5.971139,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557540.0,7.8386164,-10.496181,-10.508151,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557559.0,6.2129536,-11.475409,-10.144233,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557579.0,6.9503675,-12.344504,-7.630321,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557600.0,8.248025,-13.153744,-7.979874,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557621.0,6.8929067,-12.619837,-7.680599,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557642.0,6.0357823,-10.376471,-5.1379566,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557661.0,5.7029886,-7.639898,-3.2321723,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557680.0,6.1507044,-4.5920787,-2.6839,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557701.0,8.161834,-2.432509,-2.552219,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557721.0,10.228029,-1.9057846,-3.1148565,Male,174.0,0.52778757,-0.37873647,0.10262536
1699943557743.0,9.370906,-3.0071173,-2.6144683,Male,174.0,-0.45570546,0.10751228,0.2724459
1699943557760.0,6.7468605,-3.9743748,-1.5466543,Male,174.0,-0.45570546,0.10751228,0.2724459
1699943557781.0,5.7005944,-5.662287,-3.5458126,Male,174.0,-0.45570546,0.10751228,0.2724459
1699943557800.0,5.2289367,-7.371747,-5.911284,Male,174.0,-0.45570546,0.10751228,0.2724459
1699943557821.0,5.415684,-9.088389,-7.9248075,Male,174.0,-0.45570546,0.10751228,0.2724459
1699943557840.0,8.042124,-11.8896055,-12.931084,Male,174.0,-0.54733527,1.0897835,-0.32375857
1699943557861.0,5.949591,-13.057976,-15.5120325,Male,174.0,-0.39584067,0.86498517,-0.2003638
1699943557880.0,0.4285621,-10.374076,-10.599131,Male,174.0,-0.39584067,0.86498517,-0.2003638
1699943557901.0,-0.6560113,-9.775525,-6.241684,Male,174.0,-0.39584067,0.86498517,-0.2003638
1699943557920.0,0.15083471,-6.4858923,-6.5122285,Male,174.0,-0.39584067,0.86498517,-0.2003638
1699943557942.0,0.093373865,-4.570531,-7.666234,Male,174.0,0.9773844,-0.1966986,0.22602014
1699943557960.0,-1.163582,-4.4580035,-5.7005944,Male,174.0,0.9773844,-0.1966986,0.22602014
1699943557980.0,-2.4612393,-3.6870706,-1.8459295,Male,174.0,0.9773844,-0.1966986,0.22602014
1699943558001.0,-3.1531637,-2.5067291,-0.0023942017,Male,174.0,0.9773844,-0.1966986,0.22602014
1699943558023.0,-2.372654,-2.8634653,0.47884035,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558041.0,-0.9816227,-3.9839516,-0.89303726,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558061.0,0.6344634,-5.1810527,-2.3989902,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558081.0,2.468422,-6.600814,-3.6870706,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558102.0,6.421249,-10.0269165,-8.240842,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558122.0,10.776301,-14.281413,-13.644555,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558143.0,8.106767,-14.255077,-11.987768,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558161.0,5.93762,-14.293385,-7.884106,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558182.0,6.279991,-13.589489,-7.9367785,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558200.0,6.469133,-12.265495,-8.578424,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558225.0,6.0860605,-10.7356,-8.508993,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558241.0,5.145139,-7.740454,-5.8681884,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558263.0,4.3382936,-4.3382936,-3.2106245,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558282.0,4.9823337,-2.5785553,-1.8459295,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558303.0,6.0022635,-2.0087352,-1.4197617,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558323.0,6.191406,-1.6783354,-1.2856863,Male,174.0,-0.28221974,-0.75869465,-0.0036651916
1699943558343.0,5.317522,-1.4197617,-1.0726024,Male,174.0,0.2321288,0.61575216,-0.23701571
1699943558362.0,4.3023806,-2.918532,-2.0494366,Male,174.0,0.2321288,0.61575216,-0.23701571
1699943558382.0,4.656722,-5.619191,-4.027047,Male,174.0,0.2321288,0.61575216,-0.23701571
1699943558401.0,6.4068837,-9.952697,-8.477868,Male,174.0,0.2321288,0.61575216,-0.23701571
1699943558424.0,8.583213,-13.804967,-14.176068,Male,174.0,0.2321288,0.61575216,-0.23701571
1699943558445.0,4.912902,-12.401965,-14.135366,Male,174.0,-0.047647487,1.455081,-0.02443461
1699943558464.0,0.581791,-10.903194,-9.267955,Male,174.0,-0.047647487,1.455081,-0.02443461
1699943558484.0,0.8523358,-11.410766,-7.1849995,Male,174.0,-0.047647487,1.455081,-0.02443461
1699943558503.0,1.4269443,-8.288726,-8.374918,Male,174.0,-0.047647487,1.455081,-0.02443461
1699943558524.0,1.1803415,-6.634333,-7.788338,Male,174.0,-0.047647487,1.455081,-0.02443461
1699943558543.0,0.110133275,-4.31914,-4.6926355,Male,174.0,-0.047647487,1.455081,-0.02443461
1699943558562.0,-0.91458505,-2.954445,-1.2976574,Male,174.0,-0.047647487,1.455081,-0.02443461
1699943558584.0,-1.1085154,-2.360683,-0.35673606,Male,174.0,-0.047647487,1.455081,-0.02443461
1699943558602.0,-0.80684596,-2.1883004,-0.830788,Male,174.0,-0.047647487,1.455081,-0.02443461
1699943558624.0,-0.059855044,-2.8419175,-1.673547,Male,174.0,-0.047647487,1.455081,-0.02443461
1699943558646.0,0.5674258,-4.1060557,-2.1978772,Male,174.0,0.14172074,-0.7831292,-0.49480084
1699943558664.0,1.436521,-5.626374,-2.0518308,Male,174.0,0.032986723,-0.5876524,-0.7855727
1699943558682.0,2.480393,-7.0844426,-2.861071,Male,174.0,0.032986723,-0.5876524,-0.7855727
1699943558705.0,5.281609,-8.4826565,-5.518635,Male,174.0,0.032986723,-0.5876524,-0.7855727
1699943558725.0,10.081984,-12.047623,-10.223241,Male,174.0,0.032986723,-0.5876524,-0.7855727
1699943558743.0,11.044453,-13.888764,-12.617443,Male,174.0,0.032986723,-0.5876524,-0.7855727
1699943558763.0,7.240066,-13.266272,-9.998186,Male,174.0,0.032986723,-0.5876524,-0.7855727
1699943558783.0,7.2328835,-12.243947,-8.099585,Male,174.0,-0.3652974,-0.6084218,0.1001819
1699943558804.0,7.3885064,-11.389217,-8.4347725,Male,174.0,-0.3652974,-0.6084218,0.1001819
1699943558825.0,6.5840545,-10.704475,-7.465121,Male,174.0,-0.3652974,-0.6084218,0.1001819
1699943558843.0,5.403713,-7.93199,-4.721366,Male,174.0,-0.3652974,-0.6084218,0.1001819
1699943558864.0,3.9815574,-5.0302176,-2.0638018,Male,174.0,-0.3652974,-0.6084218,0.1001819
1699943558886.0,3.70383,-3.2345665,-1.151611,Male,174.0,1.5760323,-0.68661255,-0.5656612
1699943558904.0,4.735731,-3.1292217,-0.82599956,Male,174.0,1.5760323,-0.68661255,-0.5656612
1699943558923.0,5.521029,-2.1930888,-1.1611878,Male,174.0,1.5760323,-0.68661255,-0.5656612
1699943558943.0,6.4619503,-0.1388637,-1.2090719,Male,174.0,1.5760323,-0.68661255,-0.5656612
1699943558963.0,6.7492547,0.18435353,-1.4820108,Male,174.0,1.5760323,-0.68661255,-0.5656612
1699943558986.0,5.7245364,-1.958457,-1.3982137,Male,174.0,1.5760323,-0.68661255,-0.5656612
1699943559004.0,5.923255,-2.8299465,-2.1308396,Male,174.0,1.5760323,-0.68661255,-0.5656612
1699943559025.0,8.499416,-5.427655,-6.5098343,Male,174.0,1.5760323,-0.68661255,-0.5656612
1699943559045.0,12.028469,-10.134656,-12.253524,Male,174.0,-0.089186326,1.2315043,0.37507126
1699943559065.0,9.167398,-12.368446,-13.982138,Male,174.0,-0.089186326,1.2315043,0.37507126
1699943559084.0,4.429273,-10.500969,-9.629479,Male,174.0,-0.8503244,1.8997909,0.21746802
1699943559107.0,4.43885,-11.520899,-7.445967,Male,174.0,-0.8503244,1.8997909,0.21746802
1699943559124.0,6.232107,-11.106702,-9.363723,Male,174.0,-0.8503244,1.8997909,0.21746802
1699943559146.0,5.7005944,-9.775525,-8.865729,Male,174.0,-0.8503244,1.8997909,0.21746802
