timestamp,second,x_accelerometer,y_accelerometer,z_accelerometer,x_gyroscope,y_gyroscope,z_gyroscope,gender,height
1700459912850.0,0.0,-15.7825775,0.60573304,-5.209783,0.9114109666666667,1.4648548199999998,-4.5244753,Female,160.0
1700459912851.0,0.001,-12.935872,4.9200845,-0.15083471,0.7134906,2.4019222,-4.6804495,Female,160.0
1700459912852.0,0.002,-10.728417,5.2049947,4.4699745,1.1129965,1.3109168,-3.1532865,Female,160.0
1700459912872.0,0.022,-6.3901243,4.6040497,-0.5482722,1.66827305,0.51923545,-2.225993,Female,160.0
1700459912886.0,0.036,-4.012682,6.631939,2.4013844,2.26631,-1.6762142,1.7788396,Female,160.0
1700459912889.0,0.039,-9.459491,-4.855441,4.4364557,2.8307495,-1.577254,7.08115,Female,160.0
1700459912890.0,0.04,-15.770607,-13.81215,-10.120291,-3.3903022,-1.3732251,10.0988245,Female,160.0
1700459912891.0,0.041,-12.069171,-29.053638,-1.4341269,-3.6884043,-4.5717154,6.4605107,Female,160.0
1700459912896.0,0.046,-1.7405846,-20.721815,-0.8619126,-1.9046779,-2.9810224,6.6572094,Female,160.0
1700459912897.0,0.047,7.979874,-15.363592,-3.3734303,0.86620694,-1.8851302,5.3805013,Female,160.0
1700459912898.0,0.048,13.745112,-15.856798,-1.6160861,-0.51740288,-2.3322835,4.36768665,Female,160.0
1700459912899.0,0.049,11.68131,-19.275719,-1.2090719,-1.9010127,-2.7794368,3.354872,Female,160.0
1700459912900.0,0.05,8.499416,-20.992361,-2.1380222,-1.5809193,0.50335294,2.5766296,Female,160.0
1700459912903.0,0.053,0.58897364,-24.102428,-5.57849,-0.20769419,1.7837266,0.04886922,Female,160.0
1700459912904.0,0.054,-12.026075,-29.084763,-3.3686419,0.893085,3.2852333,-1.287704,Female,160.0
1700459912905.0,0.055,-21.741745,-30.95224,-9.107543,3.6370916,1.4636332,-3.940081,Female,160.0
1700459912906.0,0.056,-25.919628,-27.23165,-9.174581,3.532023,1.6994271,-4.5069637,Female,160.0
1700459912910.0,0.06,-27.183765,-24.202986,-6.2871737,2.5118778,1.0433578,-5.5955257,Female,160.0
1700459912913.0,0.063,-27.569233,-20.398598,-6.2009826,0.5534439,1.5259414,-6.5350366,Female,160.0
1700459912914.0,0.064,-27.559656,-14.930242,-5.925649,0.119729586,1.6969837,-6.86246,Female,160.0
1700459912915.0,0.065,-23.400927,-8.925584,-5.171476,0.047647488,1.77456355,-6.8196995,Female,160.0
1700459912917.0,0.067,-19.586964,-0.34237084,-6.1219735,0.39950588,1.8497,-6.315125,Female,160.0
1700459912920.0,0.07,-11.880029,2.5019407,-2.992752,1.1899655,1.6872098,-4.8734827,Female,160.0
1700459912921.0,0.071,-10.850522,4.2305546,-0.14844051,1.4196508,2.375044,-2.9761355,Female,160.0
1700459912922.0,0.072,-7.07726,6.505046,1.8794483,1.8240436,2.026851,-1.9278907,Female,160.0
1700459912928.0,0.078,-6.361394,6.4619503,1.1994951,2.1166481,1.4563028,-0.6285803249999999,Female,160.0
1700459912930.0,0.08,-4.0916905,5.9759274,-2.9855695,2.4092526,0.8857546,0.67073005,Female,160.0
1700459912933.0,0.083,-5.3247046,4.0773253,-2.5019407,1.690875,-1.5063937,4.972443,Female,160.0
1700459912934.0,0.084,-11.6669445,-0.7350199,-3.3159695,-0.004886922,-1.3109168,6.370103,Female,160.0
1700459912935.0,0.085,-17.808073,-8.50181,-4.987122,-1.0060950610000001,-1.66521865,6.54297785,Female,160.0
1700459912936.0,0.086,6.9479733,-23.913286,0.06464344,-2.0073032,-2.0195205,6.7158527,Female,160.0
1700459912938.0,0.088,-10.709264,-8.801085,-1.6136919,-0.08307768,0.75869465,1.3096951,Female,160.0
1700459912939.0,0.089,-9.011775,-5.5760956,-2.6408045,5.3145275,-0.073303826,5.7910028,Female,160.0
1700459912941.0,0.091,-8.549694,-1.8459295,-3.1986535,6.721961,0.20525073,5.733581,Female,160.0
1700459912947.0,0.097,-9.435549,0.5722142,-3.4165258,5.1062225,0.48258355000000003,4.9913796999999995,Female,160.0
1700459912950.0,0.1,-10.383653,1.520318,-4.0414124,3.490484,0.75991637,4.2491784,Female,160.0
1700459912951.0,0.101,-10.548853,1.8171991,-4.6016555,0.21868979999999993,0.576045935,3.2919527,Female,160.0
1700459912953.0,0.103,-12.2319765,-3.3087866,-5.7748146,-3.0531044,0.3921755,2.334727,Female,160.0
1700459912957.0,0.107,-12.289437,-5.351041,-5.4563856,-9.293704,-0.0720821,0.95172805,Female,160.0
1700459912959.0,0.109,-11.599907,-7.321469,-3.976769,-10.1421955,-0.30237830000000004,0.915076125,Female,160.0
1700459912960.0,0.11,-11.051635,-9.591172,-1.4987702,-10.990687,-0.5326745,0.8784242,Female,160.0
1700459912962.0,0.112,-10.275913,-11.44189,0.80445176,-11.310781,-0.91507614,1.0885619,Female,160.0
1700459912964.0,0.114,-9.050082,-12.299014,1.9776106,-10.068281,-1.1484267,1.4501941,Female,160.0
1700459912966.0,0.116,-7.785944,-12.220005,1.8746599,-7.424456,-1.205848,1.8680259,Female,160.0
1700459912970.0,0.12,-7.6949644,-12.835316,2.267309,-1.2449434,-0.548557,2.5277603,Female,160.0
1700459912974.0,0.124,-11.947066,-12.191275,0.8499416,3.0213394,1.2889256,2.3212879,Female,160.0
1700459912975.0,0.125,-14.726735,-9.895236,-0.37349546,4.785518,2.140472,1.1337659,Female,160.0
1700459912976.0,0.126,-16.215929,-5.8346696,-1.0893618,4.695721,2.0030272499999997,0.611476113,Female,160.0
1700459912978.0,0.128,-13.129802,-3.301604,-0.40701428,3.8814378,0.79779,-1.1264355,Female,160.0
1700459912979.0,0.129,-11.080365,-4.10845,0.9552865,1.6432275,-0.3115413,-3.3377676,Female,160.0
1700459912980.0,0.13,-15.466543,-5.363012,-1.5035586,2.0341814,-0.39950588,-4.428773,Female,160.0
1700459912981.0,0.131,-15.375564,-6.564901,-0.10295067,3.685961,-0.9370673,-4.2675047,Female,160.0
1700459912982.0,0.132,-11.640609,-4.582502,-2.0111294,2.7073548,-0.4447099,-3.8240163,Female,160.0
1700459912987.0,0.137,-11.432313,-6.564901,-0.9648633,2.3713789,-0.707992825,-3.9156461499999997,Female,160.0
1700459912988.0,0.138,-12.41633,-8.078036,1.4197617,1.1276573,-1.59558,-4.128227,Female,160.0
1700459912989.0,0.139,-11.882423,-11.358093,3.1292217,-1.6151277,-3.477045,-4.8820353,Female,160.0
1700459912990.0,0.14,-9.260772,-12.349293,5.281609,-2.4801128,-3.9632938,-5.799555,Female,160.0
1700459912991.0,0.141,-7.524976,-11.856087,3.6774938,-2.7818804,-3.128852,-5.8496456,Female,160.0
1700459912992.0,0.142,-3.7948096,-10.84334,2.8060043,-2.5912905,-2.6975808,-5.542991,Female,160.0
1700459912995.0,0.145,5.741296,-12.409147,5.861006,-2.493552,-1.7531832,-4.701219,Female,160.0
1700459912999.0,0.149,4.0821137,-12.816162,4.522647,-1.6065756,-0.70005155,-4.170988,Female,160.0
1700459913002.0,0.152,3.9360676,-13.017275,3.0262709,-1.75318325,-0.590095825,-4.1453315,Female,160.0
1700459913003.0,0.153,5.149928,-12.531252,1.6759412,-1.8997909,-0.4801401,-4.119675,Female,160.0
1700459913004.0,0.154,6.2225304,-10.563218,1.6256629,-2.2015584,-0.29932398,-4.1001277,Female,160.0
1700459913007.0,0.157,4.687847,-7.055712,-0.47405192,-1.3707817,1.0677924,-2.5485299,Female,160.0
1700459913008.0,0.158,-8.554482,-17.750612,-2.1380222,2.8857274,-1.1374311,6.359107,Female,160.0
1700459913009.0,0.159,10.761936,-2.731784,0.04070143,3.2913419,-0.3543018499999999,3.73421915,Female,160.0
1700459913021.0,0.171,6.411672,2.8083985,2.0446482,6.1905084,-0.029321533,2.0720549,Female,160.0
1700459913022.0,0.172,-6.6103907,-5.9304376,11.63582,14.333343,-0.19181168,7.0237284,Female,160.0
1700459913023.0,0.173,-2.966416,-5.604826,5.011064,5.2595496,-4.8905873,2.6804767,Female,160.0
1700459913024.0,0.174,4.8482585,-7.3909006,-13.515268,-13.955828,-7.216762,-3.0616567,Female,160.0
1700459913029.0,0.179,5.4683566,-7.383718,-17.240646,-15.4799365,-6.1856215,-3.12824095,Female,160.0
