timestamp,x_accelerometer,y_accelerometer,z_accelerometer,gender,height,x_gyroscope,y_gyroscope,z_gyroscope
1699943202596.0,-33.44939,-67.0568,2.1763294,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202618.0,-22.943634,-40.801987,-2.2361844,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202638.0,-14.422671,-30.703243,0.770933,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202658.0,-5.475539,-25.59641,-0.46447513,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202679.0,0.545878,-22.586899,-1.4676456,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202698.0,4.5154643,-19.917364,-1.0582372,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202717.0,8.439561,-15.847221,-2.1092918,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202736.0,13.965379,-16.443377,0.06464344,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202757.0,18.744205,-18.600554,0.40940848,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202777.0,22.44564,-16.208746,-0.40462008,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202796.0,26.81506,-15.840038,-0.9864111,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202817.0,21.291636,-16.582241,-0.49559975,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202838.0,15.868769,-19.347544,0.30406362,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202858.0,8.453926,-23.877373,-0.9744401,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202876.0,2.4875755,-28.203695,-4.237737,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202898.0,-4.9919105,-30.88999,-7.273585,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202919.0,-12.093113,-41.577705,-6.9982514,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202938.0,-26.020184,-55.947704,-3.809175,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202957.0,-30.86126,-48.475403,-5.0493712,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202977.0,-24.830265,-33.92105,-5.9878983,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943202997.0,-23.257275,-23.731327,-1.7310078,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943203018.0,-18.550274,-15.318103,0.60812724,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943203039.0,-16.115372,-6.397307,-0.36391866,Male,174.0,-1.9339994,-0.02321288,7.453778
1699943203058.0,-16.500837,2.7365725,-3.7229836,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203079.0,-19.330784,14.671668,-9.648633,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203098.0,-19.833567,24.837448,-17.37951,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203118.0,-21.155167,37.576996,-24.957159,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203139.0,-20.954054,37.797264,-21.789629,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203157.0,-23.357832,29.532478,-16.45056,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203178.0,-26.324247,18.497602,-10.996569,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203197.0,-34.421436,2.7341783,-7.2807674,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203218.0,-40.385395,-27.868507,-2.7964275,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203240.0,-50.335697,-43.557713,-3.0358477,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203257.0,-45.188164,-62.809486,2.6168625,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203278.0,-33.571495,-56.17276,5.5521536,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203298.0,-25.644295,-43.485886,5.6766524,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203318.0,-17.171215,-32.719162,3.1914709,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203338.0,-9.445126,-27.461494,1.9249382,Male,174.0,2.9883528,0.8051204,-4.9516735
1699943203359.0,-3.6727054,-22.613235,-0.6655881,Male,174.0,-3.1325169,-2.6841419,2.8417451
1699943203380.0,1.7142484,-18.217482,-1.3096284,Male,174.0,-3.1325169,-2.6841419,2.8417451
1699943203398.0,5.7628436,-15.205575,-0.5506664,Male,174.0,-3.1325169,-2.6841419,2.8417451
1699943203418.0,9.035717,-15.4880905,2.7700913,Male,174.0,-3.1325169,-2.6841419,2.8417451
1699943203438.0,11.331757,-15.7825775,1.115698,Male,174.0,-3.1325169,-2.6841419,2.8417451
1699943203459.0,17.78892,-21.344309,-1.9536686,Male,174.0,-3.1325169,-2.6841419,2.8417451
1699943203479.0,24.17665,-19.711462,-1.8267759,Male,174.0,-3.1325169,-2.6841419,2.8417451
1699943203499.0,28.361713,-23.587675,0.79726917,Male,174.0,-3.1325169,-2.6841419,2.8417451
1699943203519.0,17.192762,-22.67309,-2.9951463,Male,174.0,-3.1325169,-2.6841419,2.8417451
1699943203539.0,12.217611,-19.364304,-5.6359506,Male,174.0,-3.1325169,-2.6841419,2.8417451
1699943203560.0,6.4140663,-17.599777,-4.819528,Male,174.0,-3.1325169,-2.6841419,2.8417451
1699943203579.0,1.9728222,-17.149666,-2.1883004,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203600.0,-0.04309563,-25.991453,0.5291186,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203619.0,-8.14268,-39.509117,-3.4117374,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203639.0,-19.369091,-45.31266,-4.9583917,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203660.0,-60.9875,-50.994102,-10.893618,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203680.0,-31.502907,-44.137108,-10.84334,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203698.0,-33.612198,-34.083855,-7.1347213,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203721.0,-27.459099,-20.961235,-4.7644615,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203742.0,-24.071304,-13.615825,-2.980781,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203762.0,-25.922022,-6.289568,-3.715801,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203780.0,-28.558039,5.2049947,-10.769119,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203798.0,-27.621904,19.531897,-12.339716,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203822.0,-23.700203,33.626564,-21.839909,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203840.0,-17.468096,41.764454,-20.705057,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203860.0,-17.451336,33.42545,-11.722012,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203879.0,-15.255854,26.05849,-6.4906807,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203901.0,-15.746665,18.99799,-7.872135,Male,174.0,0.5888741,2.0610592,-4.736649
1699943203922.0,-19.80723,10.34774,-8.037335,Male,174.0,-0.3933972,1.7617353,8.897863
1699943203939.0,-35.094208,-5.0421886,-10.134656,Male,174.0,-1.4294246,2.0317378,10.344392
1699943203959.0,-57.137623,-54.341194,8.860941,Male,174.0,-1.4294246,2.0317378,10.344392
1699943203979.0,-45.305477,-65.08637,17.262194,Male,174.0,-1.4294246,2.0317378,10.344392
1699943203999.0,-33.60741,-55.040302,8.595184,Male,174.0,5.3695054,6.141639,9.089675
1699943204019.0,-27.267563,-30.779858,11.089942,Male,174.0,5.3695054,6.141639,9.089675
1699943204039.0,-22.199038,-27.57881,11.633426,Male,174.0,5.3695054,6.141639,9.089675
1699943204059.0,-9.528923,-26.144682,12.6461735,Male,174.0,5.3695054,6.141639,9.089675
1699943204080.0,1.1947067,-24.523808,20.489578,Male,174.0,5.3695054,6.141639,9.089675
1699943204100.0,7.429208,-21.677103,17.425,Male,174.0,-4.3689084,-2.3273966,0.6597345
1699943204121.0,13.994109,-17.700333,7.788338,Male,174.0,-4.3689084,-2.3273966,0.6597345
1699943204142.0,24.533384,-18.741812,0.6991069,Male,174.0,-4.3689084,-2.3273966,0.6597345
1699943204159.0,34.11977,-24.590845,3.0023289,Male,174.0,-4.3689084,-2.3273966,0.6597345
1699943204181.0,21.337126,-26.55888,5.6431336,Male,174.0,-4.3689084,-2.3273966,0.6597345
1699943204200.0,10.192117,-19.888634,2.2361844,Male,174.0,0.9089675,1.72264,-4.3078218
1699943204220.0,6.1746464,-18.294096,-1.6639702,Male,174.0,0.9089675,1.72264,-4.3078218
1699943204243.0,1.4628572,-18.28452,-3.0071173,Male,174.0,0.9089675,1.72264,-4.3078218
1699943204261.0,-2.7030537,-22.021868,-2.6192567,Male,174.0,0.88331115,2.3677137,-6.736622
1699943204280.0,-4.268862,-25.428816,-1.6496049,Male,174.0,0.88331115,2.3677137,-6.736622
